batch_id,timestamp,name,phone_number,appointment_date,call_answered,call_status,call_duration_seconds,call_duration_formatted,call_id,error_message
20251030_115100,2025-10-30 11:51:07,Test Batch 1,443-506-3813,2025-10-30T11:50:48.293000,Yes,completed,28.0,28s,CA312a9310635fb78ea10e1a6e3ce6df30,
20251030_115100,2025-10-30 11:51:07,Test Batch 2,443-506-3813,2025-10-30T11:50:48.293000,Yes,completed,14.0,14s,CA996fc82e097780e8db61ae1467cd08e1,
20251030_115700,2025-10-30 11:57:17,Test Batch 1,443-506-3813,2025-10-30T11:56:58.691000,Yes,completed,14.0,14s,CA7d108840d0048cfda4c3ea29d798cef6,
20251030_115700,2025-10-30 11:57:17,Test Batch 2,443-506-3813,2025-10-30T11:56:58.691000,Yes,completed,25.0,25s,CA392ddacfb37b1a39c22b4f3fdd02456a,
20251030_115922,2025-10-30 11:59:38,Test Batch 1,443-506-3813,2025-10-30T11:56:58.691000,Yes,completed,24.0,24s,CA3e629e754d218a13e77a0649b54ff5f8,
20251030_115922,2025-10-30 11:59:38,Test Batch 2,443-506-3813,2025-10-30T11:56:58.691000,Yes,completed,14.0,14s,CA5f30692a4ca2743078a4a8a63789e0fb,
20251030_120745,2025-10-30 12:08:02,Test Batch 1,443-506-3813,2025-10-30T11:56:58.691000,Yes,completed,14.0,14s,CA72b6049023c7e236fbd3bca80c2888d3,
20251030_120745,2025-10-30 12:08:02,Test Batch 2,443-506-3813,2025-10-30T11:56:58.691000,Yes,completed,14.0,14s,CA1d84ffba06aba91760c6804dbf09c905,
20251030_122654,2025-10-30 12:27:10,Test Batch 1,443-506-3813,2025-10-30T12:26:42.343000,Yes,completed,13.0,13s,CAd9fd7323409a64ac5bf777ba1d7431f5,
20251030_122654,2025-10-30 12:27:10,Test Batch 2,443-506-3813,2025-10-30T12:26:42.343000,Yes,completed,14.0,14s,CA645e23e058407df19542313ac6011148,
20251030_124220,2025-10-30 12:42:37,Test Batch 1,443-506-3813,2025-10-30T12:26:42.343000,Yes,in-progress,0.0,0s,CAb2fd71e89e54083858a29df4bcdc0241,
20251030_124220,2025-10-30 12:42:37,Test Batch 2,443-506-3813,2025-10-30T12:26:42.343000,Yes,in-progress,0.0,0s,CA42eb7e05211da55c96d7d3c19cecce8d,
20251030_124257,2025-10-30 12:43:14,Test Batch 1,443-506-3813,2025-10-30T12:26:42.343000,Yes,in-progress,0.0,0s,CA3f6707af8fe0715bf6be9b1d702f2139,
20251030_124257,2025-10-30 12:43:14,Test Batch 2,443-506-3813,2025-10-30T12:26:42.343000,Yes,in-progress,0.0,0s,CA8d70b9d97a437fda42f585b10a1229a7,
